"case","code","label","minutes","kind","recoverable","would_action","recoverability_view","comment"
"1","93","late inbound","3","manage_around","false","as_written","agree",""
"2","34","steps not powering (GSE)","15","recover","true","as_written","agree",""
"3","81","slot","16","manage_around","false","as_written","agree",""
"4","04","PRM pickup (inbound)","5","recover","true","as_written","agree",""
"5","96","flight schedule change (crew report time; arrived at different a/c)","54","manage_around","false","as_written","agree",""
"6","89","awaiting pushback","1","recover","true","as_written","agree",""
"7","87","airport facilities (stand/gate)","9","manage_around","false","as_written","agree",""
"8","05","offload bags/pax","2","manage_around","false","as_written","agree",""
"9","02","air start unit (ASU) for departure","6","manage_around","false","as_written","agree",""
"10","93","late inbound","4","manage_around","false","as_written","agree",""
"11","71","pax refused to board (rain)","12","recover","true","as_written","agree",""
"12","89","awaiting pushback","2","recover","true","as_written","agree",""
"13","36","refuelling","1","recover","true","as_written","agree",""
"14","81","slot","1","manage_around","false","as_written","agree",""
"15","16","passenger convenience (medical - nut allergy EpiPen)","4","recover","true","as_written","agree",""
"16","65","flight crew briefing","1","manage_around","false","as_written","agree",""
"17","02","air start unit (ASU)","8","manage_around","false","as_written","agree",""
"18","85","share-code / travel-doc checks","4","recover","true","as_written","agree",""
"19","89","awaiting pushback","3","recover","true","as_written","agree",""
"20","64","flight crew (late/changed captain)","7","manage_around","false","as_written","agree",""
"21","89","awaiting pushback","3","recover","true","as_written","agree",""
"22","65","flight crew (captain late to instruct crew on boarding release)","1","manage_around","false","as_written","agree",""
"23","89","awaiting pushback","7","recover","true","as_written","agree",""
"24","41","engineering on board","95","safety_hold","false","as_written","agree",""
"25","41","engineering on board","40","safety_hold","false","as_written","agree",""
"26","41","engineering on board","25","safety_hold","false","as_written","agree",""
"27","87","stand or airport facilities hazard","30","safety_hold","false","as_written","agree",""

"overall_useful","4"
"overall_trust","4"
"overall_clear","4"
"experience","3–10 years"
"notes",""
