"case","code","label","minutes","kind","recoverable","would_action","recoverability_view","comment"
"1","93","late inbound","3","manage_around","false","with_changes","unsure","i wouldnt tell the office i am free at this stage as we are still at the first stage of a whole turnaround, being only 3 minutes time could be recovered somewhere else, if longer i would agree its not recoverable,  but as it is short i would. consider to try to make the time else where, so there is recoverable actions not mentioned"
"2","34","steps not powering (GSE)","15","manage_around","false","as_written","disagree","there is a rcoverable action, its a problem out of our control, but an example of action is to coordinate with the team leader, the ramp allocator, our office to get other steps sent to the stand in a timley manner, and as the delay happens at the beginning of the arrival, depending on the quickness of the response, the lenght of the delay could be cut and, time could be made up fore else where "
"3","81","slot","16","manage_around","false","as_written","agree",""
"4","04","PRM pickup (inbound)","5","recover","true","with_changes","agree","these recommendations are not needed Notify office you may be freed up -- offer to be redeployed to a turn that needs you. Confirm/expedite new slot as soon as the delay is known."
"5","96","flight schedule change (crew report time; arrived at different a/c)","54","manage_around","false","as_written","agree",""
"6","89","awaiting pushback","1","recover","true","as_written","agree","not necessary  Notify office you may be freed up -- offer to be redeployed to a turn that needs you."
"7","87","airport facilities (stand/gate)","9","manage_around","false","as_written","agree","not necessary: Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"8","05","offload bags/pax","2","manage_around","false","as_written","agree","not necessary: Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"9","02","air start unit (ASU) for departure","6","manage_around","false","as_written","agree",""
"10","93","late inbound","4","manage_around","false","as_written","agree","not necessary: Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"11","71","pax refused to board (rain)","12","recover","true","as_written","agree","not necessary: Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"12","89","awaiting pushback","2","recover","true","as_written","disagree","it is not recoverable  not necessary: Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"13","36","refuelling","1","recover","true","as_written","agree","not necessary: Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"14","81","slot","1","manage_around","false","as_written","agree","not necessary due to delay too short: Notify office you may be freed up -- offer to be redeployed to a turn that needs you. Tell office your stand may free late -- offer redeployment. "
"15","16","passenger convenience (medical - nut allergy EpiPen)","4","recover","true","with_changes","agree","its the right instinct, but i would coordinate with pax gate and cabin crew, to understand severity, and to see if they left medical bag in the hold bag get quickly the code to get it unloaded and recovered the epipen bag, ideally all of this would happen before bags are loaded, so we can cut down on time"
"16","65","flight crew briefing","1","manage_around","false","as_written","agree","not necessary Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"17","02","air start unit (ASU)","8","manage_around","false","as_written","agree","not necessary Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"18","85","share-code / travel-doc checks","4","recover","true","as_written","agree","not necessary Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"19","89","awaiting pushback","3","recover","true","as_written","agree","not necessary Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"20","64","flight crew (late/changed captain)","7","manage_around","false","as_written","agree","not necessary Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"21","89","awaiting pushback","3","recover","true","as_written","agree","not necessary Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"22","65","flight crew (captain late to instruct crew on boarding release)","1","manage_around","false","as_written","agree","not necessary Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"23","89","awaiting pushback","7","recover","true","as_written","agree","not necessary Notify office you may be freed up -- offer to be redeployed to a turn that needs you. "
"24","41","engineering on board","95","safety_hold","false","with_changes","agree"," "
"25","41","engineering on board","40","safety_hold","false","as_written","agree",""
"26","34","ground equipment fault at the aircraft","25","safety_hold","false","no","disagree","it isnt a hazard, this would be a non recoverable delay for equipment, but still actions to be taken  "
"27","87","stand or airport facilities hazard","30","safety_hold","false","as_written","agree",""

"overall_useful","5"
"overall_trust","4"
"overall_clear","5"
"experience","1–3 years"
"notes",""
